trail_name,status
chase_it,closed
crackerjack,closed
learning_zone,closed
lower_boulevard,closed
lower_east_meadow,closed
lower_thruway,closed
plaza,closed
proutys_past,closed
run_around_1,closed
run_around_2,closed
run_around_3,closed
run_around_4,closed
school_slope,closed
woods_run,closed
lift_line,closed
lords_prayer,closed
lower_twister,closed
pushover,closed
ridge,closed
route_100,closed
shincracker,closed
snow_ranger,closed
spring_trail,closed
sunset_pass,closed
upper_boulevard,closed
upper_east_meadow,closed
upper_thruway,closed
upper_twister,closed
west_meadow,closed
yodeler,closed
avalanche,closed
blue_ribbon,closed
corkscrew,closed
havoc,closed
little_dipper,closed
lower_stargazer,closed
no_name_chute,closed
pabst_panic,closed
pabst_peril,closed
stargazer,closed
sunder,closed
the_garden,closed
avalanche_glade,closed
everglade,closed
orion,closed
spring_fling,closed
the_glade,closed
the_plunge,closed